,Case Number,Year,Country,Activity,Sex,Age,Fatal (Y/N)
307,2014.07.20,2014,SPAIN,Wading,,,N
308,2014.07.16,2014,USA,Swimming,M,61.0,N
309,2014.07.14,2014,USA,Swimming,M,39.0,N
310,2014.07.13,2014,BAHAMAS,Shark diving,M,63.0,Y
311,2014.07.12,2014,USA,Body surfing,M,,N
312,2014.07.09,2014,USA,Surfing,M,14.0,N
313,2014.07.05.b,2014,USA,Swimming,M,,N
314,2014.07.05.a,2014,USA,Surfing,M,,N
315,2014.07.03,2014,USA,Body surfing,M,19.0,N
316,2014.06.27.R,2014,ST. MARTIN,Transatlantic Rowing,M,48.0,N
317,2014.06.25,2014,BAHAMAS,Spearfishing,M,42.0,N
318,2014.06.18.b,2014,AUSTRALIA,Surfing,M,,N
319,2014.06.18.a,2014,AUSTRALIA,Body boarding,M,15.0,N
320,2014.06.17.R,2014,AUSTRALIA,Petting a shark,M,,N
321,2014.06.09.c,2014,BRAZIL,Fishing,M,43.0,N
322,2014.06.09.b,2014,USA,Standing,M,16.0,N
323,2014.06.09.a,2014,AUSTRALIA,Body boarding,M,39.0,N
324,2014.06.08,2014,JAPAN,Surfing,M,43.0,N
325,2014.06.07,2014,USA,Kneeling in the water,F,14.0,N
326,2014.06.01.c,2014,USA,Swimming,F,22.0,N
327,2014.06.01.b,2014,AUSTRALIA,Surfing,M,,N
328,2014.06.01.a,2014,USA,Tagging sharks,F,37.0,N
329,2014.05.27.R,2014,AUSTRALIA,Fell into the water,F,29.0,N
330,2014.05.23,2014,FRANCE,Scuba diving,M,,N
331,2014.05.22,2014,AUSTRALIA,Teasing a shark,M,10.0,N
332,2015.11.20,2015,ECUADOR,Snorkeling,M,55.0,N
333,2014.05.15,2014,USA,Body boarding,F,38.0,N
334,2014.05.14,2014,AUSTRALIA,Surfing,M,35.0,N
335,2014.05.13,2014,USA,Wading,F,44.0,N
336,2014.05.11,2014,USA,Surfing,M,12.0,N
337,2014.05.10.R,2014,USA,Diving,M,,N
338,2014.05.06,2014,USA,Swimming,F,40.0,N
339,2014.05.01,2014,USA,Surfing,M,23.0,N
340,2014.04.24,2014,AUSTRALIA,Spearfishing,M,,N
341,2014.04.22,2014,USA,Swimming,Unknow,42.0,N
342,2014.04.15,2014,USA,Wading,M,25.0,N
343,2014.04.12.R,2014,SOUTH AFRICA,Shark watching,,,N
344,2014.04.12,2014,SOUTH AFRICA,Fishing,M,,N
345,2014.04.04.b,2014,USA,Surfing,M,,N
346,2014.04.04.a,2014,USA,Surfing,M,,N
347,2014.04.03,2014,AUSTRALIA,Swimming,F,63.0,Y
348,2014.03.29,2014,AUSTRALIA,Diving for lobsters,M,38.0,Y
349,2014.03.22.b,2014,SOUTH AFRICA,Swimming,M,66.0,Y
350,2014.03.22.a,2014,USA,Kite Surfing,M,,N
351,2014.03.21,2014,USA,Surfing,M,9.0,N
352,2014.03.18.c,2014,NEW CALEDONIA,Kite Surfing,M,42.0,N
353,2014.03.18.b,2014,AUSTRALIA,Surfing,M,42.0,N
354,2014.03.13,2014,CAYMAN ISLANDS,Scuba diving / culling lionfish,M,,N
355,2014.03.18,2014,AUSTRALIA,,F,10.0,N
356,2014.03.12,2014,AUSTRALIA,Swimming,M,,N
357,2014.03.02,2014,USA,Surfing,M,21.0,N
358,2014.02.20,2014,FRENCH POLYNESIA,Kitesurfing,M,21.0,N
359,2014.02.17,2014,PAPUA NEW GUINEA,Sailing,M,21.0,N
360,2014.02.08,2014,AUSTRALIA,Spearfishing / Free diving,M,28.0,Y
361,2014.02.07.b,2014,TRINIDAD & TOBAGO,Fishing,M,,N
362,2014.02.07,2014,NEW ZEALAND,Surfing,M,28.0,N
363,2014.01.26,2014,AUSTRALIA,Fishing,M,,N
364,2014.01.25,2014,NEW ZEALAND,Spearfishing,M,24.0,N
365,2014.01.04,2014,JAPAN,Sea disaster,M,31.0,N
366,2014.00.00,2014,NEW ZEALAND,Filming a documentary,,,N
367,2013.12.25,2013,NEW CALEDONIA,Snorkeling,M,37.0,N
368,2013.12.16,2013,SOUTH AFRICA,Surfing,M,19.0,N
369,2013.12.13,2013,KIRIBATI,Attempting to remove fishing net from submerged object,M,35.0,N
370,2013.12.11,2013,USA,Boogie boarding,M,29.0,N
371,2013.12.10,2013,USA,Surfing,M,30.0,N
