,Country,Year,Hemisphere,Season,Date,Case Number,Fatal (Yes/No),pdf,href formula
4207,ITALY,1951,Northern Hemisphere,Summer,Reported 03-Sep-1951,1951.09.03.R,N,1951.09.03.R-Caputo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.09.03.R-Caputo.pdf
4208,AUSTRALIA,1951,Southern Hemisphere,Winter,Reported 02-Sep-1951,1951.09.02-R,Y,1951.09.02-Joske.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.09.02-Joske.pdf
4209,GREECE,1951,Northern Hemisphere,Summer,17-Aug-51,1951.08.17.b,N,1951.08.17.b-Athanasenas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.08.17.b-Athanasenas.pdf
4210,GREECE,1951,Northern Hemisphere,Summer,17-Aug-51,1951.08.17.a,Y,1951.08.17.a-Perri.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.08.17.a-Perri.pdf
4211,ITALY,1951,Northern Hemisphere,Summer,Reported 16-Aug-1951,1951.08.16.R,N,1951.08.16.R-TorreColimena.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.08.16.R-TorreColimena.pdf
4212,COLUMBIA,1951,Northern Hemisphere,Summer,Between 01-Aug-1951 & 08-Aug-1951,1951.08.00,Y,1951.08.00-Cartagena.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.08.00-Cartagena.pdf
4213,USA,1951,Northern Hemisphere,Summer,Reported 19-Jul-1951,1951.07.19.R,N,1951.07.19.R-Nottingham.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.07.19.R-Nottingham.pdf
4214,,1951,nan,Winter,11-Jul-51,1951.07.11,N,1951.07.11-Sierks.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.07.11-Sierks.pdf
4215,USA,1951,Northern Hemisphere,Spring,25-Jun-51,1951.06.25,Y,1951.06.25-Nodura.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.06.25-Nodura.pdf
4216,FRENCH POLYNESIA,1951,Southern Hemisphere,Fall,Jun-51,1951.06.00,N,1951.06.00-Clark.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.06.00-Clark.pdf
4217,MEXICO,1951,Northern Hemisphere,Spring,22-May-51,1951.05.22,N,1951.05.22-NV-Lanse.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.05.22-NV-Lanse.pdf
4218,ITALY,1951,Northern Hemisphere,Spring,Reported 09-May-1951,1951.05.09.R,N,1951.05.09.R-Naples.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.05.09.R-Naples.pdf
4219,AUSTRALIA,1951,Southern Hemisphere,Summer,26-Mar-51,1951.03.26,N,1951.03.26-Davidson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.03.26-Davidson.pdf
4220,AUSTRALIA,1951,Southern Hemisphere,Summer,24-Mar-51,1951.03.24,N,1951.03.24-Fisherman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.03.24-Fisherman.pdf
4221,SOUTH AFRICA,1951,Southern Hemisphere,Summer,15-Mar-51,1951.03.15,N,1951.03.15-Stapelberg.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.03.15-Stapelberg.pdf
4222,SOUTH AFRICA,1951,Southern Hemisphere,Summer,19-Feb-51,1951.02.19,N,1951.02.19-Huskisson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.02.19-Huskisson.pdf
4223,AUSTRALIA,1951,Southern Hemisphere,Summer,03-Feb-51,1951.02.03,N,1951.02.03-Pride.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.02.03-Pride.pdf
4224,AUSTRALIA,1951,Southern Hemisphere,Summer,01-Feb-51,1951.02.01,N,1951.02.01-Sheen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1951.02.01-Sheen.pdf
