Date,Year,Type,Area,Location,Activity,Sex,Fatal (Y/N),Species
1939-12-14,1939,Unprovoked,Queensland,"Rubbish Dump Creek, Mackay",Swimming,M,Y,Shark
1939-11-23,1939,Boating,New South Wales,Wollongong,Unknown,Unknown,N,
1939-11-11,1939,Provoked,New South Wales,Maroubra,Unknown,Unknown,N,Whaler Shark
1939-11-09,1939,Boating,New South Wales,Wollongong,Unknown,Unknown,Unknown,
1939-11-06,1939,Boating,New South Wales,Wollongong,Unknown,Unknown,Unknown,
1939-11-02,1939,Unprovoked,Unknown,Unknown,Fishing,M,Y,
1939-10-25,1939,Unprovoked,Queensland,Near Restoration Rock off Portland Roads,Unknown,M,N,Tiger Shark
1939-10-04,1939,Unprovoked,Hawaii,"Kane'ohe Bay, Mokapu, O'ahu",Unknown,M,N,Shark
1939-09-27,1939,Unprovoked,Torres Strait,Near Mabuiag Island,Pearl Diving,M,N,Tiger Shark
1939-08-01,1939,Provoked,California,"Off San Pedro, Los Angeles County",Fishing,M,N,
1939-07-18,1939,Sea Disaster,Unknown,Unknown,Unknown,Unknown,Y,
1939-07-16,1939,Provoked,Andros Islands,Blue Hole,Unknown,M,N,Nurse Shark
1939-07-14,1939,Provoked,Texas,"West Bay, 19 miles from Galveston",Unknown,M,N,Shark
1939-05-03,1939,Unprovoked,Virginia,"At sea, several hundred miles south east of Cape Henry, Virginia",Unknown,M,Y,
1939-04-12,1939,Unprovoked,Morobe Province,Bulolol,Unknown,M,Y,
1939-03-24,1939,Unprovoked,Central Province,Port Moresby,Unknown,M,Y,Large Shark
1939-02-26,1939,Unprovoked,Tamil Nadu,Chennai (formerly Madras),Unknown,M,Y,
1939-02-26,1939,Provoked,North Island,Matakana River Mouth,Fishing,M,N,Shark
1939-01-12,1939,Unprovoked,New South Wales,Clarence River,Unknown,M,N,Shark
1939-01-01,1939,Sea Disaster,Unknown,Unknown,Unknown,F,N,
1939-01-01,1939,Boating,Andros Islands,Middle Bight,Fishing,Unknown,N,Tiger Shark
1939-01-01,1939,Unprovoked,Carabobo,"El Falito, near Puerto Cabello",Bathing,M,Y,
1939-01-01,1939,Unprovoked,Ascension Bay,Unknown,Diving,M,N,Tiger Shark
1939-01-01,1939,Unprovoked,"Abau Sub District, Central Province",Aroma Passage,Unknown,M,Y,
1938-12-27,1938,Unprovoked,New South Wales,"North Beach, Belligen River",Swimming,M,Y,
1938-10-05,1938,Provoked,Queensland,Between Wynnum & St. Helena Island,Fishing,M,N,Tiger Shark
1938-08-29,1938,Unprovoked,North China,"Outer harbor, Hong Kong",Unknown,M,Y,
1938-08-18,1938,Provoked,California,"Near Encino, Los Angeles County",Fishing,M,N,
1938-07-18,1938,Unprovoked,South Carolina,Charleston,Swimming,M,N,
1938-07-17,1938,Provoked,Unknown,Unknown,Fishing,M,N,
1938-07-17,1938,Provoked,California,"Dana Point, Orange County",Unknown,M,N,
1938-07-12,1938,Unprovoked,Torres Strait,Off Bathurst Island,Unknown,M,Y,
1938-06-17,1938,Unprovoked,Lower San Juan River,Unknown,Unknown,Unknown,Y,Bull Shark
1938-06-08,1938,Unprovoked,New South Wales,Manly,Unknown,M,N,Shark
1938-05-26,1938,Unprovoked,Nicoya Peninsula,Unknown,Fishing,M,Y,
1938-05-15,1938,Unprovoked,Basrah City,"Ashar Canal, where people wash clothes & kitchen pans",Unknown,M,N,Bull Shark
1938-05-02,1938,Unprovoked,West Bengal,Hooghley River near Budge-Budge,Bathing,Unknown,Y,
1938-03-21,1938,Unprovoked,Viti Levu,Singatoka River,Wading,M,N,
1938-03-08,1938,Unprovoked,Northern Territory,Liverpool River,Unknown,M,N,
1938-01-21,1938,Provoked,New South Wales,Tweed Heads,Fishing,M,N,Tiger Shark
1938-01-18,1938,Provoked,KwaZulu-Natal,"Vetchs Pier, Durban",Unknown,M,N,
1938-01-14,1938,Invalid,New South Wales,"Lady Martins Beach, Sydney Harbor",Unknown,M,Unknown,
1938-01-02,1938,Unprovoked,New South Wales,Cronulla,Unknown,M,N,
1938-01-01,1938,Unprovoked,Unknown,Mersa Matruh,Unknown,M,Y,
1938-01-01,1938,Unprovoked,Trinidad,"Manzanilla Bay, St. Andrew County",Body Surfing,M,N,Colored Shark
1938-01-01,1938,Provoked,North Carolina,On one of the sounds near Wilmington,Fishing,M,N,
1938-01-01,1938,Unprovoked,Torres Strait,Unknown,Diving,M,N,
1938-01-01,1938,Unprovoked,KwaZulu-Natal,"Bilanhlolo River Mouth, Ramsgate",Swimming,M,N,
1937-11-13,1937,Sea Disaster,North Carolina,Off Cape Hatteraa,Unknown,M,Y,
1937-11-11,1937,Unprovoked,Torres Strait,Ota Reef,Unknown,M,Y,Shark
1937-11-06,1937,Sea Disaster,Unknown,Unknown,Unknown,M,Y,
1937-10-27,1937,Unprovoked,Queensland,"Kirra Beach, Coolangatta",Swimming,M,Y,Tiger Shark
1937-10-27,1937,Unprovoked,Queensland,"Kirra Beach, Coolangatta",Swimming,M,Y,Tiger Shark
1937-10-24,1937,Unprovoked,New South Wales,Byron Bay,Unknown,M,N,Shark
1937-10-24,1937,Unprovoked,New South Wales,Byron Bay,Unknown,M,N,Shark
1937-09-16,1937,Provoked,Split-Dalmatia County,Bisk,Fishing,M,N,
1937-09-12,1937,Boating,Argyllshire,Arran,Unknown,Unknown,N,Basking Shark
1937-09-11,1937,Boating,Arran,Fallen Rocks,Fishing,Unknown,N,Basking Shark
1937-09-01,1937,Unprovoked,Argyll,"Carradale Bay, Kintyre Peninsula",Unknown,M,N,Basking Shark
1937-08-31,1937,Unprovoked,Torres Strait,"Mabuiag Island, between New Guinea & Australia",Unknown,M,N,Tiger Shark
1937-08-16,1937,Invalid,Unknown,Istanbul,Swimming,M,Unknown,
1937-08-02,1937,Unprovoked,Colon Province,Limon Bay,Swimming,M,Y,
1937-07-16,1937,Unprovoked,Northern Territory,Elcho Island,Pearl Diving,M,Y,
1937-07-06,1937,Invalid,Liguria,Borgeo Verezzi,Unknown,Unknown,Unknown,
