,Year,Month,Time_Day,Country,Activity,Sex,Fatal_Injury,Age
3571,1962,August,Morning,Usa,Diving,M,N,39
3572,1962,August,Unknown,Usa,Unknown,Unknown,N,Unknown
3573,1962,August,Noon,South africa,Fishing,Unknown,N,Unknown
3574,1962,August,Afternoon,Usa,Surf fishing in waist deep water,M,Y,40
3575,1962,August,Noon,Usa,Standing,M,N,24
3576,1962,August,Afternoon,Papua new guinea,Spearfishing,M,Y,Unknown
3577,1962,August,Unknown,Italy,Diving,M,N,Unknown
3578,1962,August,Unknown,Senegal,Beach seine netting,M,N,23
3579,1962,July,Unknown,Usa,Standing,M,N,21
3580,1962,July,Morning,Madagascar,Finning the shark,M,N,20
3581,1962,July,Afternoon,Usa,Fishing,M,N,19
3582,1962,July,Afternoon,Usa,Playing in surf with his child  9 ,M,N,41
3583,1962,July,Noon,Usa,Dived from inner tube,M,N,13
3584,1962,July,Unknown,Greece,Unknown,Unknown,N,Unknown
3585,1962,June,Unknown,Usa,U s airforce crewman reported missing after bailing out of jet,M,Y,Unknown
3586,1962,June,Evening,South africa,On a shark hunt ,Unknown,N,Unknown
3587,1962,June,Noon,Usa,Rolled off raft,M,N,11
3588,1962,June,Night,Usa,Escaping from alacatraz,M,N,31
3589,1962,June,Night,Usa,Escaping from alacatraz,M,Y,32
3590,1962,June,Night,Usa,Escaping from alacatraz,M,Y,35
3591,1962,June,Day,Papua new guinea,Washing,M,Y,Unknown
3592,1962,June,Afternoon,Usa,Standing,M,N,13
3593,1962,June,Morning,Australia,Fishing,Unknown,N,Unknown
3594,1962,June,Noon,Usa,Scuba diving,M,N,55
3595,1962,June,Noon,Usa,Free diving,M,N,31
3596,1962,May,Unknown,Usa,Unknown,M,N,17
3597,1962,May,Night,Usa,25 foot cabin cruiser happy jack sank in heavy seas,Unknown,Y,Unknown
3598,1962,May,Unknown,Fiji,Fishing,Unknown,N,Unknown
3599,1962,April,Unknown,Australia,Fishing,Unknown,N,Unknown
3600,1962,April,Morning,Mozambique,Swimming,M,N,16
3601,1962,April,Noon,South africa,Wading,M,N,13
3602,1962,April,Unknown,South africa,Fishing,Unknown,N,Unknown
3603,1962,March,Unknown,New zealand,Unknown,M,N,Unknown
3604,1962,March,Unknown,Australia,Fishing,Unknown,N,Unknown
3605,1962,March,Afternoon,Papua new guinea,Swimming,M,Y,10
3606,1962,February,Unknown,Papua new guinea,Swimming,M,N,Unknown
3607,1962,February,Unknown,New zealand,Swimming,M,N,15
3608,1962,February,A m ,Australia,Fishing,M,N,Unknown
3609,1962,February,Morning,South africa,Swimming,M,Y,22
3610,1962,February,Afternoon,South africa,Treading water,M,Y,13
3611,1962,February,Noon,Australia,Swimming,M,N,35
3612,1962,February,Unknown,New zealand,Fishing,Unknown,Unknown,Unknown
3613,1962,February,Unknown,Solomon islands,Swimming,M,Y,Unknown
3614,1962,January,Afternoon,New zealand,Splashing ,M,N,18
3615,1962,January,Unknown,Mozambique,Unknown,M,Unknown,16
3616,1962,January,Unknown,Australia,Spearfishing,M,N,19
3617,1962,January,Noon,South africa,Fishing,M,Y,40
3618,1962,January,Unknown,New zealand,Fishing,Unknown,N,Unknown
3619,1962,January,Noon,New zealand,Spearfishing,M,N,44
3620,1962,January,Morning,Usa,Spearfishing,M,N,29
3621,1962,January,Unknown,Australia,Spearfishing,Unknown,N,Unknown
3622,1962,January,Noon,Australia,Surfing,M,N,19
3623,1962,January,Unknown,Australia,Fishing,Unknown,N,Unknown
3624,1962,January,Noon,Papua new guinea,Spearfishing,M,N,24
3625,1962,January,Afternoon,New zealand,Surf fishing,F,N,54
3626,1962,January,Unknown,Australia,Fishing,Unknown,N,Unknown
3627,1962,January,Unknown,Australia,Swimming,M,Y,25
3628,1962,January,Unknown,Australia,Rowing,Unknown,N,Unknown
3629,1962,January,Unknown,Australia,Surfing,Unknown,N,Unknown
3630,1962,January,Unknown,South africa,Fishing,Unknown,N,Unknown
3631,1962,January,Unknown,Australia,Fishing,Unknown,N,Unknown
3632,1962,January,Noon,Marshall islands,Fishing,M,N,57
3633,1962,Unknown,Unknown,Spain,Dangling feet in the water,F,N,Unknown
3634,1962,Unknown,Unknown,Indonesia,Unknown,Unknown,Y,Unknown
3635,1962,Unknown,Unknown,Australia,Diving,M,N,Unknown
3636,1961,December,Afternoon,Australia,Standing,F,Y,18
3637,1961,December,Afternoon,Australia,Standing,M,N,24
3638,1961,December,Afternoon,South africa,Treading water,M,N,18
3639,1961,December,Morning,Australia,Spearfishing,M,N,23
3640,1961,December,Unknown,Australia,Fishing,Unknown,N,Unknown
3641,1961,December,Afternoon,Mozambique,Bathing,M,N,20
3642,1961,December,Morning,Australia,Surfing,M,Y,22
3643,1961,December,Noon,Australia,Swimming,M,N,17
3644,1961,November,Unknown,Mexico,Unknown,Unknown,Y,Unknown
3645,1961,October,Unknown,Philippines,Gathering shells,M,N,Unknown
3646,1961,October,Unknown,Usa,Swimming,M,Y,45
3647,1961,October,Unknown,Vanuatu,Paddling outrigger canoe,M,N,Unknown
3648,1961,October,Unknown,Usa,Unknown,M,Y,45
3649,1961,Septembrer,Afternoon,Usa,Unknown,M,N,16
3650,1961,Septembrer,Afternoon,Croatia,Swimming,M,Y,19
3651,1961,Septembrer,Morning,Tanzania,Fishing,M,N,42
3652,1961,Septembrer,Morning,Mid atlantic ocean,Survived us naval aircraft crash climbing onboard rescue vessel when he fell back into sea ,M,N,22
3653,1961,Septembrer,Morning,Persian gulf,Free diving,M,N,Unknown
3654,1961,Septembrer,Unknown,Italy,Fishing,M,N,33
3655,1961,Septembrer,Unknown,Australia,Attaching a line at sea,Unknown,Y,Unknown
3656,1961,August,Morning,Usa,Swimming,M,N,16
3657,1961,August,Morning,Usa,Wading,M,N,19
3658,1961,August,Noon,Bermuda,Spearfishing,M,N,22
3659,1961,August,Afternoon,Usa,Net fishing picking catch from the net,M,N,38
3660,1961,August,Unknown,Papua new guinea,Fishing,M,N,Unknown
3661,1961,July,Noon,Usa,Spearfishing,M,N,57
3662,1971,July,Unknown,Turkey,Swimming,M,N,16
3663,1961,July,Unknown,Australia,Shark fishing,Unknown,N,Unknown
3664,1961,July,Noon,Italy,Spearfishing,M,N,21
3665,1961,July,Unknown,Panama,Fishing,M,Y,10
3666,1961,June,Morning,Usa,Scuba diving,M,Y,23
3667,1961,June,Noon,Usa,Standing,M,N,25
3668,1961,June,Unknown,Usa,Spearfishing,M,N,Unknown
3669,1961,June,Unknown,New britain,Spearfishing,M,N,Unknown
3670,1961,June,Unknown,Papua new guinea,Fishing,M,N,19
3671,1961,May,Morning,Usa,Free diving,M,N,20
3672,1961,May,Unknown,New britain,Collecting dynamited fish,M,N,Unknown
3673,1961,May,Noon,Usa,Walking,M,N,52
3674,1961,May,Unknown,Australia,Spearfishing,M,N,Unknown
3675,1961,April,Afternoon,Usa,Splashing ,M,N,10
3676,1961,April,Noon,Australia,Spearfishing,M,N,Unknown
3677,1961,April,Morning,Mozambique,Swimming,M,N,37
3678,1961,April,Unknown,South africa,Diving,M,N,Unknown
3679,1961,April,Unknown,Usa,Spearfishing,M,N,22
3680,1961,April,Unknown,Australia,Spearfishing,M,N,21
3681,1961,April,Night,Australia,Checking fish traps fell into the water,M,N,40
3682,1961,April,Noon,Mozambique,Swimming,M,Y,38
3683,1961,April,Unknown,Persian gulf,Cargo ship dara sank after collision with another ship during a severe storm,Unknown,Y,Unknown
3684,1961,April,Unknown,Australia,Spearfishing,M,N,24
3685,1961,April,Unknown,Australia,Spearfishing,M,N,Unknown
3686,1961,March,Unknown,Australia,Spearfishing,M,N,24
3687,1961,March,Afternoon,Australia,Swimming,M,N,24
3688,1961,March,Unknown,Australia,Fishing,F,N,Unknown
3689,1961,March,Noon,Australia,Spearfishing,M,N,21
3690,1961,March,Afternoon,North pacific ocean,Free diving,M,N,33
3691,1961,March,Unknown,South africa,Fishing,M,N,44
3692,1961,March,Noon,Fiji,Floating on back,M,N,Unknown
