Year,Country,Sex,Activity,Type,Fatal
2013,USA,M,Surfing,Unprovoked,N
2013,USA,M,Wading,Unprovoked,N
2013,USA,M,Surfing,Unprovoked,N
2013,Israel,M,Diving,Provoked,N
2013,USA,M,Standing,Unprovoked,N
2013,USA,M,Swimming,Unprovoked,N
2013,USA,M,Surfing,Unprovoked,N
2013,USA,M,Swimming,Unprovoked,N
2013,USA,F,Surfing,Unprovoked,N
2013,USA,F,,Unprovoked,UNKNOWN
2013,USA,M,Surfing,Provoked,N
2013,USA,M,Standing,Unprovoked,N
2013,USA,M,Swimming,Unprovoked,N
2013,USA,M,,Provoked,N
2013,Bahamas,M,,Unprovoked,N
2013,USA,M,Casting a net,Unprovoked,N
2013,Bahamas,M,Spearfishing,Unprovoked,N
2013,USA,M,Swimming,Unprovoked,N
2013,USA,F,Marathon swimming,Invalid,N
2013,France,M,Longline fishing for sharks,Provoked,N
2013,USA,F,Boogie boarding,Unprovoked,N
2013,Australia,M,Wrangling a shark,Unprovoked,N
2013,USA,M,Surfing,Unprovoked,N
2013,USA,F,Surfing,Unprovoked,N
2013,USA,F,Snorkeling,Unprovoked,Y
2013,USA,F,Kiteboarding,Unprovoked,N
2013,USA,M,Surfing,Unprovoked,N
2013,South Africa,M,Attempting to free the shark,Unprovoked,N
2013,USA,M,Fishing,Unprovoked,N
2013,USA,F,Snorkeling,Unprovoked,N
2013,USA,M,Swimming,Unprovoked,N
2013,Bahamas,M,Spearfishing,Unprovoked,N
2013,Mexico,F,Wading,Unprovoked,N
2013,USA,M,Surfing,Unprovoked,N
2013,Bahamas,M,Cleaning fish,Unprovoked,N
2013,Bahamas,M,Diving,Unprovoked,N
2013,Brazil,F,Swimming,Unprovoked,Y
2013,USA,F,Walking in surf,Unprovoked,N
2013,USA,M,Swimming ,Unprovoked,N
2013,Reunion,F,Swimming & snorkeling,Unprovoked,Y
2013,Diego Garcia,M,Swimming,Unprovoked,Y
2013,USA,F,Wading,Unprovoked,N
2013,Spain,M,Swimming,Invalid,N
2013,Australia,M,Body surfing,Unprovoked,N
2013,Taiwan,M,Fishing,Unprovoked,N
2013,Jamaica,M,,Invalid,Y
2013,USA,M,Kayaking / Fishing,Unprovoked,N
2013,USA,M,Swimming,Unprovoked,N
2013,USA,M,Swimming,Unprovoked,N
2013,USA,M,Swimming,Unprovoked,N
2013,USA,M,Swimming,Unprovoked,N
2013,South Africa,M,Surfing,Unprovoked,N
2013,USA,F,Surfing,Unprovoked,N
2013,USA,F,Boogie Boarding,Unprovoked,N
2013,USA,M,Fishing for sharks,Provoked,N
2013,Australia,M,Surfing,Unprovoked,N
2013,USA,M,Diving,Unprovoked,N
2013,USA,M,Swimming,Unprovoked,N
2013,Brazil,M,,Unprovoked,Y
2013,Palestinian Territories,M,Fishing,Provoked,N
2013,Ecuador,M,Surfing,Unprovoked,N
2013,USA,M,Surfing,Invalid,Y
2013,Reunion,M,Body boarding,Unprovoked,Y
2013,USA,M,Surfing,Unprovoked,N
2013,Australia,M,Fishing,Provoked,N
2013,Mexico,F,Swimming,Unprovoked,N
2013,Australia,M,Fishing,Unprovoked,N
2013,USA,M,Playing in the surf,Unprovoked,N
2013,South Africa,M,Free diving,Unprovoked,N
2013,USA,M,Surfing,Unprovoked,N
2013,Guam,M,,Unprovoked,Y
2013,French Polynesia,M,Kite boarding,Unprovoked,N
2013,USA,M,Swimming,Unprovoked,N
2013,Australia,M,,Invalid,Y
2013,USA,M,Surfing,Unprovoked,N
2013,Australia,M,Surfing,Invalid,N
2013,Seychelles,M,Free diving,Unprovoked,N
2013,Belize,F,Snorkeling,Unprovoked,N
2013,Bahamas,M,Fly fishing,Unprovoked,N
2013,South Africa,M,Fishing - 'tag & release',Provoked,N
2013,South Africa,M,Surfing,Unprovoked,N
2013,Jamaica,M,Spearfishing,Unprovoked,Y
2013,Australia,M,Spearfishing,Unprovoked,N
2013,Philippines,M,Swimming to shore with floatioon devices after boat engine conked out,Unprovoked,N
2013,South Africa,M,Swimming,Unprovoked,N
2013,New Zealand,M,Swimming,Unprovoked,Y
2013,USA,Unkown,Surfing,Unprovoked,N
2013,USA,M,Surfing,Unprovoked,N
2013,USA,M,Surfing,Unprovoked,N
2013,French Polynesia,M,Scuba diving,Unprovoked,N
2013,Jamaica,M,,Unprovoked,N
2013,Australia,M,Fishing,Boat,N
2013,Australia,M,Surfing,Unprovoked,N
2013,Australia,M,Dragging stranded shark into deeper water,Invalid,N
2013,USA,M,Surfing,Unprovoked,N
2013,New Zealand,M,Spearfishing,Unprovoked,N
2013,Australia,M,Spearfishing / Free diving,Unprovoked,N
2012,USA,M,Swimming,Unprovoked,N
2012,Australia,M,Surfing,Unprovoked,N
2012,Australia,M,Paddle boarding,Unprovoked,N
2012,South Africa,M,Swimming,Unprovoked,Y
2012,Australia,M,Surfing,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,Australia,M,Spearfishing,Unprovoked,N
2012,New Zealand,F,Scuba diving,Unprovoked,N
2012,USA,M,Snorkeling,Unprovoked,N
2012,Australia,M,,Invalid,N
2012,Mexico,M,Swimming,Unprovoked,Y
2012,USA,M,Surfing,Unprovoked,N
2012,USA,M,Diving,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,USA,F,Swimming,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,Y
2012,USA,F,,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,USA,M,Paddle boarding,Unprovoked,N
2012,USA,M,,Invalid,N
2012,Nigeria,F,Bathing,Unprovoked,N
2012,USA,M,Windsurfing,Unprovoked,N
2012,Australia,M,Bodyboarding,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,Tonga,F,Swimming,Unprovoked,N
2012,USA,Unkown,Surfing,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,USA,M,Swimming,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,USA,F,Boogie boarding,Unprovoked,N
2012,USA,Unkown,Spearfishing,Provoked,N
2012,USA,F,Swimming or boogie boarding,Unprovoked,N
2012,Scotland,M,Shark fishing,Provoked,N
2012,Australia,M,Surfing,Unprovoked,N
2012,Brazil,M,Swimming,Unprovoked,Y
2012,USA,M,Wading or swimming,Unprovoked,N
2012,Australia,Unkown,Fishing,Boat,N
2012,USA,M,Free diving ,Unprovoked,N
2012,Reunion,M,Surfing,Unprovoked,N
2012,French Polynesia,M,Spearfishing,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,Australia,M,Surfing,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,USA,M,Body surfing,Unprovoked,N
2012,USA,M,,Invalid,N
2012,Reunion,M,Surfing,Unprovoked,Y
2012,Trinidad & Tobago,M,Swimming,Invalid,Y
2012,Canada,F,Surfing,Invalid,N
2012,Australia,M,Surfing,Unprovoked,Y
2012,USA,F,Swimming,Unprovoked,N
2012,Bahamas,M,Spearfishing,Unprovoked,N
2012,Australia,F,Scuba diving,Invalid,Y
2012,USA,M,Kayaking,Unprovoked,N
2012,South Africa,M,Surfing,Unprovoked,N
2012,Croatia,Unkown,Swimming,Invalid,N
2012,USA,M,Swimming,Unprovoked,N
2012,USA,M,Surfing,Unprovoked,N
2012,USA,F,Sitting in the water,Unprovoked,N
2012,Australia,M,Surfing,Unprovoked,N
2012,USA,M,Swimming,Unprovoked,N
2012,Australia,M,Surf skiing ,Unprovoked,N
2012,USA,M,Standing,Invalid,N
2012,USA,F,Wading,Unprovoked,N
2012,USA,M,Fishing,Provoked,N
2012,USA,F,Swimming,Unprovoked,N
2012,USA,M,Swimming,Unprovoked,N
